Name,Size,Type,Alignment,Habitat,MainHabitat,OtherHabitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR,INT,DEX,WIS,CON,CHA,STR_Save,INT_Save,DEX_Save,WIS_Save,CON_Save,CHA_Save,Proficient,Expertise,Vulnerabilities,Slashing,ImmunitiesConditions,ImmunitiesDamage,Blindsight,Darkvision,Truesight,Tremorsense,PassivePerception,Languages,CR,XP,PB,Traits,NumberOfLegendaryResistance,NumberOfAtk,Atk1Type,Atk1Mod,Atk1Range,Atk1RangeShort,Atk1Damage,Atk1DamageType,Atk2Type,Atk2Mod,Atk2Range,Atk2RangeShort,Atk2Damage,Atk2DamageType,Atk3Type,Atk3Mod,Atk3Range,Atk3RangeShort,Atk3Damage,Atk3DamageType,Atk4Type,Atk4Mod,Atk4Range,Atk4RangeShort,Atk4Damage,Atk4DamageType,SaveDC,SavingThrow,ActionNotes,Ability,SpellSaveDC,SpellSavingThrows,SpellAttack,AtWill,ThreePerDay,TwoPerDay,OnePerDay,BonusAction,Reaction,Amount,LegendaryActionSaveDC,LegendaryActionSavingThrow,LegendaryActions,Lair,xp,LegendaryResistance,LegendaryActions,LairSaveDC,LairSavingThrows,Other
Ettercap,Medium,Monstrosity,Neutral Evil,Forest,Forest,,Implements,13,44,2,30,,30,,,,2,-2,2,1,1,-1,2,-2,2,1,1,-1,"Perception, Stealth, Survival",,,,,,,60,,,13,None,2,450,2,"Spider Climb, Web Walker",,2,Melee,4,5,,7,"Piercing, Poison",Melee,4,5,,7,Slashing,,,,,,,,,,,,,12,Dexterity,"Atk 1 on hit poisoned, Web Strand recharges on 5-6 a target within 30ft on fail restrained",,,,,,,,,Reel pulls a creature within 30ft and restrained 25ft,,,,,,,,,,,,
Ettin,Large,Giant,Chaotic Evil,"Hill, Mountain, Underdark","Hill, Mountain, Underdark",,Individual,12,85,-1,40,,,,,,5,-2,-1,0,3,-1,5,-2,-1,0,3,-1,,Perception,,,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious",,,60,,,14,Giant,4,"1,100",2,,,2,Melee,7,5,,14,Slashing,Melee,7,5,,14,Piercing,,,,,,,,,,,,,,,"Atk 1 on hit prone, Atk 2 target has disadvantage on the next attack roll",,,,,,,,,,,,,,,,,,,,,
Faerie Dragon Adult,Tiny,Dragon,Chaotic Good,Forest,Forest,,Implements,15,35,5,10,,,60,,,-4,2,5,1,1,3,-4,2,5,1,1,3,"Arcana, Perception, Stealth",,,,,,,60,,,13,"Draconic, Sylvan, Telepathy",2,450,2,Magic Resistance,,1,Melee,7,5,,10,"Piercing, Psychic",,,,,,,,,,,,,,,,,,,13,Wisdom,Euphoria Breath recharge on 5-6 15ft coone and incapacitated and moves in random directions,Charisma,13,Wisdom,5,"Dancing Lights, Mage Hand, Minor Illusion",,,"Hallucinatory Terrain, Polymorph",Cast Greater Invisibility,,,,,,,,,,,,
Faerie Dragon Youth,Tiny,Dragon,Chaotic Good,Forest,Forest,,Implements,13,21,3,10,,,60,,,-4,1,3,1,1,2,-4,1,3,1,1,2,"Arcana, Perception, Stealth",,,,,,,60,,,13,"Draconic, Sylvan, Telepathy",1,200,2,,,1,Melee,5,5,,7,"Piercing, Psychic",,,,,,,,,,,,,,,,,,,12,Wisdom,Euphoria Breath recharge on 5-6 15ft coone and incapacitated and moves in random directions,Charisma,12,,4,"Dancing Lights, Mage Hand, Minor Illusion",,,,,,,,,,,,,,,,
Fiend Cultist,Medium or Small,Humanoid (Cultist),Neutral Evil,Any,Any,," Individual, Relics",16,127,5,30,,,,,,4,1,2,4,3,0,4,1,2,7,6,0,"Perception, Religion",,,,,,,90,,,17,"Abyssal, Common, Infernal",8,"3,900",3,,,3,Melee,7,5,,23,"Slashing, Fire",,,,,,,,,,,,,,,,,,,,,,Wisdom,15,Dexterity,7,"Hellish Rebuke, Scorching Ray (level 5), Thaumaturgy",,Fireball (level 6),,,Hellish Rebuke cast hellish rebuke,,,,,,,,,,,
Fire Elemental,Large,Elemental,Neutral,"Desert, Planar (Elemental Plane of FIre)","Desert, Planar",Elemental Plane of FIre,None,13,93,3,50,,,,,,0,-2,3,0,3,-2,0,-2,3,0,3,-2,,,,"Bludgeoning, Piercing, Slashing","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious","FIre, Poison",,60,,,10,Primordial (Ignan),5,"1,800",3,"Fire Aura, Fire Form, Illumination, Water Susceptibility",,2,Melee,6,5,,10,Fire,,,,,,,,,,,,,,,,,,,,,On hit starts burning,,,,,,,,,,,,,,,,,,,,,
Fire Giant,Huge,Giant,Lawful Evil,"Mountain, Underdark","Mountain, Underdark",,Armaments,18,162,3,30,,,,,,7,0,-1,2,6,1,7,0,3,2,10,5,"Athletics, Perception",,,,,Fire,,,,,16,Giant,9,"5,000",4,,,2,Melee,11,10,,31,"Slashing, Fire",Ranged,11,60/240,60,27,"Bludgeoning, Fire",,,,,,,,,,,,,,,Atk 2 on hit pushed 15ft and has disadvantage,,,,,,,,,,,,,,,,,,,,,
Flameskull,Tiny,Undead,Neutral Evil,Underdark,Underdark,,Arcana,13,40,3,5,,,40,40,,-5,3,3,0,2,0,-5,3,3,0,2,0,"Arcana, Perception",,,,"Charmed, Exhaustion, Frightened, Paralyzed, Poisoned, Prone","Fire, Necrotic, Poison",,60,,,12,"Common, 2 other languages",4,"1,100",2,"Illumination, Magic Resistance, Undead Restoration",,2,Melee,5,5,,13,Fire,Ranged,5,60,60,13,Fire,,,,,,,,,,,,,,,,Intelligence,13,Dexterity,5,Mage Hand,,Magic Missile (level 2),Fireball,,,,,,,,,,,,,
Flaming Skeleton,Medium,Undead,Lawful Evil,"Planar (Shadowfell), Underdark, Urban","Planar, Underdark, Urban",Shadowfell,None,15,65,2,30,,,,,,0,0,2,2,2,-1,0,0,2,2,2,-1,,,Bludgeoning,,"Exhaustion, Poisoned","Fire, Poison",,60,,,12,Understands Common and another language,3,700,2,"Death Burst, Illumination",,2,Melee,4,5,,8,Bludgeoning,Ranged,4,60,60,7,Fire,,,,,,,,,,,,,12,Dexterity,,,,,,,,,,,,,,,,,,,,,,
Flesh Golem,Medium,Construct,Neutral,Any,Any,,Arcana,9,127,-1,30,,,,,,4,-2,-1,0,4,-3,4,-2,-1,0,4,-3,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned","Lightning, Poison",,60,,,10,Understands Common plus one other language,5,"1,800",3,"Aversion to Fire, Berserk, Immutable Form, Lightning Absorption, Magic Resistance",,2,Melee,7,5,,17,"Bludgeoning, Lightning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flumph,Small,Aberration,Lawful Good,Underdark,Underdark,,Arcana,12,7,2,5,,,30,30,,-2,2,2,2,0,0,-2,2,2,2,0,0,"Arcanna, History, Religion",,Psychic,,,,,60,,,12,"Understands Undercommon, Telepathy",1/8,25,2,,,1,Melee,4,5,,4,Acid,,,,,,,,,,,,,,,,,,,10,Dexterity,Within 15ft poisoned,,,,,,,,,,,,,,,,,,,,,
Flying Snake,Tiny,Monstrosity,Unaligned,"Desert, Forest, Grassland","Desert, Forest, Grassland",,None,14,5,2,30,,,60,,30,-3,-4,2,1,0,-3,-3,-4,2,1,0,-3,,,,,,,10,,,,11,None,1/8,25,2,Flyby,,1,Melee,4,5,,6,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fomorian,Huge,Giant,Chaotic Evil,Underdark,Underdark,,Any,14,172,0,40,,,,,,6,-1,0,2,5,-2,6,-1,0,2,5,-2,Stealth,Perception,,,,,,120,,,18,"Giant, Undercommon",8,"3,900",3,,,2,Melee,9,15,,24,Bludgeoning,,,,,,,,,,,,,,,,,,,16,Wisdom,Warping Hex within 120 ft on fail 21 psychic damage and 1 exhaustion level,,,,,,,,,,,,,,,,,,,,,
Frog,Tiny,Beast,Unaligned,"Forest, Swamp","Forest, Swamp",,None,10,11,0,50,,,,,,-5,-5,1,-1,-1,-4,-5,-5,1,-1,-1,-4,"Perception, Stealth",,,,,,,30,,,11,None,0,10,2,"Amphibious, Standing Leap",,1,Melee,3,5,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frost Giant,Huge,Giant,Neutral Evil,"Arctic, Mountain","Arctic, Mountain",,Armaments,15,149,2,40,,,,,,6,-1,-1,0,5,1,6,-1,-1,3,8,4,"Athletics, Perception",,,,,Cold,,,,,13,Giant,8,"3,900",3,,,2,Melee,9,10,,28,"Slashing, Cold",Ranged,9,150/600,150,24,"Piercing, Cold",,,,,,,,,,,,,,,Atk 2 on hit reduce speed by 10ft,,,,,,,,,War Cry recharges on 5-6 gains 16 temp hp,,,,,,,,,,,,
Galeb Duhr,Medium,Elemental,Neutral,"Hill, Mountain","Hill, Mountain",,Any,16,123,2,15,,,,,,5,0,2,1,5,0,5,0,2,1,5,0,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Poison,,60,,60,11,Primordial (Terran),6,"2,300",3,,,1,Melee,8,5,,12,Bludgeoning,,,,,,,,,,,,,,,,,,,,,"Atk 1 charge attack if moved 20ft+ extra 7 damage and prone, Animate Boulders 1/day creates one or two Galeb Duhr",,,,,,,,,,,,,,,,,,,,,
Gargoyle,Medium,Elemental,Chaotic Evil,"Underdark, Urban","Underdark, Urban",,Any,15,67,2,30,,,60,,,2,-2,0,0,3,-2,2,-2,0,0,3,-2,,Stealth,,,"Exhaustion, Petrified, Poisoned",Poison,,60,,,10,Primordial (Terran),2,450,2,Flyby,,2,Melee,4,5,,7,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Spore Fungus,Large,Plant,Unaligned,Underdark,Underdark,,None,8,13,-5,5,,,10,10,,-3,-5,-5,-5,-4,-5,-3,-5,-5,-5,-4,-5,,,,,"Blinded, Charmed, Deafened, Frightened, Paralyzed, Poisoned, Prone",Poison,30,,,,5,None,1/2,100,2,Death Burst,,1,Melee,0,5,,3,Poison,,,,,,,,,,,,,,,,,,,10,Constitution,Atk 1 on hit poisoned,,,,,,,,,,,,,,,,,,,,,
Gelatinous Cube,Large,Ooze,Unaligned,Underdark,Underdark,,Any,6,63,-4,15,,,,,,2,-5,-4,-2,5,-5,2,-5,-4,-2,5,-5,,,,,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",Acid,60,,,,8,None,2,450,2,"Ooze Cubee, Transparent",,1,Melee,4,5,,12,Acid,,,,,,,,,,,,,,,,,,,12,Dexterity,Engulf moves through a creature's space on fail is engulfed total cover 10 acid damage every round suffocating restrained ,,,,,,,,,,,,,,,,,,,,,
Ghast,Medium,Undead,Chaotic Evil,"Swamp, Underdark, Urban","Swamp, Underdark, Urban",,Any,13,36,3,30,,,,,,3,0,3,0,0,-1,3,0,3,2,0,-1,,,,Necrotic,"Charmed, Exhaustion, Poisoned",Poison,,60,,,10,Common,2,450,2,Stench,,1,Melee,5,5,,16,"Piercing, Necrotic",Melee,5,5,,10,Slashing,,,,,,,,,,,,,10,Constitution,Akt 2 on hit and fail paralyzed,,,,,,,,,,,,,,,,,,,,,
Ghast Gravecaller,Medium,Undead,Chaotic Evil,"Swamp, Underdark, Urban","Swamp, Underdark, Urban",,Any,16,97,3,30,,,,,,3,4,3,2,2,-1,3,4,3,5,5,-1,,,,,"Charmed, Exhaustion, Poisoned","Necrotic, Poison",,120,,,12,"Abyssal, Common",6,"2,300",3,Stench,,2,Melee,6,5,,13,Slashing,Melee,7,5,,15,Necrotic,Ranged,7,120,120,15,Necrotic,,,,,,,13,Constitution,"Akt 1 on hit paralyzed, Akt 2 on hit Frightened",Intelligence,,,,"Speak with Dead, Thaumaturgy",,,,,,,,,,,,,,,,
Ghost,Medium,Undead,Neutral,"Underdark, Urban","Underdark, Urban",,Any,11,45,5,5,,,40,40,,-2,0,1,1,0,3,-2,0,1,1,0,3,,,,"Acid, Bludgeoning, Cold, Fire, Lightning, Piercing, Slashing, Thunder","Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained","Necrotic, Poison",,60,,,11,Common plus another language,4,"1,100",2,"Ethereal Sight, Incorporeal Movement",,2,Melee,5,5,,19,Necrotic,,,,,,,,,,,,,,,,,,,13,"Wisdom, Charisma","Etherealness cast Etherealness, 60ft coone 10 Psychic and Frightened, Possession recharges on 6 on fail Incapacitated and last until drop to 0 hp or the ghost leaves",,,,,,,,,,,,,,,,,,,,,
Ghoul,Medium,Undead,Chaotic Evil,"Swamp, Underdark, Urban","Swamp, Underdark, Urban",,Any,12,22,2,30,,,,,,1,-2,2,0,0,-2,1,-2,2,0,0,-2,,,,,"Charmed, Exhaustion, Poisoned",Poison,,60,,,10,Common,1,200,2,,,2,Melee,4,5,,8,"Piercing, Necrotic",Melee,4,5,,4,Slashing,,,,,,,,,,,,,10,Constitution,Akt 2 on hit and fail Paralyzed,,,,,,,,,,,,,,,,,,,,,
Giant Ape,Huge,Beast,Unaligned,Forest,Forest,,None,12,168,5,40,,40,,,,6,-3,2,1,4,-2,6,-3,2,1,4,-2,"Athletics, Survival",,,,,,,,,,14,None,7,"2,900",3,,,2,Melee,9,10,,22,Bludgeoning,,,,,,,,,,,,,,,,,,,17,Dexterity,AOE attack DEX save 5ft radius sphere 24 damage and prone,,,,,,,,,,,,,,,,,,,,,
Giant Axe Beak,Huge,Monstrosity,Unaligned,"Arctic, Grassland, Hill","Arctic, Grassland, Hill",,None,15,84,5,50,,,,,,5,-4,2,1,4,-3,5,-4,2,1,4,-3,Perception,,,,,,,,,,14,None,5,"1,800",3,,,2,Melee,8,10,,18,Slashing,Melee,8,5,,14,Piercing,,,,,,,,,,,,,,,"Atk 1 on hit another creature with 5ft of target take 6 slashing damage, Atk 2 on hit prone",,,,,,,,,,,,,,,,,,,,,
Giant Badger,Medium,Beast,Unaligned,Forest,Forest,,None,13,15,0,30,10,,,,,1,-4,0,1,3,-3,1,-4,0,1,3,-3,Perception,,,Poison,,,,60,,,13,None,1/4,50,2,,,1,Melee,3,5,,6,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Bat,Large,Beast,Unaligned,"Forest, Mountain, Underdark","Forest, Mountain, Underdark",,None,12,22,3,10,,,60,,,2,-4,3,1,0,-2,2,-4,3,1,0,-2,,,,,,,120,,,,11,None,1/4,50,2,,,1,Melee,5,5,,6,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Boar,Large,Beast,Unaligned,"Forest, Grassland, Hill","Forest, Grassland, Hill",,None,13,42,0,40,,,,,,3,-4,0,-2,3,-3,5,-4,0,-2,3,-3,,,,,,,,,,,8,None,2,450,2,Bloodied Furry,,1,Melee,5,5,,10,Piercing,,,,,,,,,,,,,,,,,,,,,Does more damage on a charge and makes prone,,,,,,,,,,,,,,,,,,,,,
Giant Centipede,Small,Beast,Unaligned,"Underdark, Urban","Underdark, Urban",,None,14,9,2,30,,30,,,,-3,-5,2,-2,1,-4,-3,-5,2,-2,1,-4,,,,,,,30,,,,8,None,1/4,50,2,,,1,Melee,4,5,,4,Piercing,,,,,,,,,,,,,,,,,,,,,Gives the poisoned condition,,,,,,,,,,,,,,,,,,,,,
Giant Constrictor Snake,Huge,Beast,Unaligned,"Desert, Forest, Swamp, Underwater","Desert, Forest, Swamp, Underwater",,None,12,60,2,30,,,,,30,4,-5,2,0,1,-4,4,-5,2,0,1,-4,Perception,,,,,,10,,,,12,None,2,450,2,,,2,Melee,6,10,,11,Piercing,,,,,,,,,,,,,,,,,,,14,Dexterity,Dex save 13 damage and gives grappled condition,,,,,,,,,,,,,,,,,,,,,
Giant Crab,Medium,Beast,Unaligned,"Coastal, Underwater","Coastal, Underwater",,None,15,13,1,30,,,,,30,1,-5,1,-1,0,-4,1,-5,1,-1,0,-4,Stealth,,,,,,30,,,,9,None,1/8,25,2,Amphibious,,1,Melee,3,5,,4,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Crocodile,Huge,Beast,Unaligned,"Coastal, Swamp","Coastal, Swamp",,None,14,85,-1,30,,,,,50,5,-4,-1,0,3,-2,5,-4,-1,0,3,-2,,Stealth,,,,,,,,,10,None,5,"1,800",3,Hold Breath,,2,Melee,8,5,,21,Piercing,Melee,8,10,,18,Bludgeoning,,,,,,,,,,,,,,,Target is grappled and restrained,,,,,,,,,,,,,,,,,,,,,
Giant Eagle,Large,Celestial,Neutral,"Coastal, Grassland, Hill, Mountain","Coastal, Grassland, Hill, Mountain",,None,13,26,3,10,,,80,,,3,-1,3,2,1,0,3,-1,3,2,1,0,,Perception,,"Necrotic, Radiant",,,,,,,16,"Celestial, Understands Common and Primordial (Auran)",1,200,2,,,2,Melee,5,5,,8,"Slashing, Radiant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Elk,Huge,Celestial,Neutral Good,"Forest, Grassland, Hill","Forest, Grassland, Hill",,None,14,42,6,60,,,,,,4,-2,4,2,2,0,4,-2,6,2,2,0,Perception,,,"Necrotic, Radiant",,,,90,,,14,"Celestial, Understands Common and Primordial (Auran)",2,450,2,,,1,Melee,6,10,,16,"Bludgeoning, Radiant",,,,,,,,,,,,,,,,,,,,,Akt 1 charge Akt +5 bludgeoning and prone,,,,,,,,,,,,,,,,,,,,,
Giant Fire Beetle,Small,Beast,Unaligned,Underdark,Underdark,,None,13,4,0,30,,30,,,,-1,-5,0,-2,1,-4,-1,-5,0,-2,1,-4,,,,Fire,,,30,,,,8,None,0,10,2,Illumination,,1,Melee,1,5,,1,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Frog,Medium,Beast,Unaligned,"Forest, Swamp","Forest, Swamp",,None,11,18,1,30,,,,,30,1,-4,1,0,0,-4,1,-4,1,0,0,-4,Perception,,,,,,,30,,,12,None,1/4,50,2,,,1,Melee,3,5,,5,Piercing,,,,,,,,,,,,,,,,,,,,,"Grapples on Akt.1, Can swallow a target and they become blinded and restrained and gives 5 acid damage.",,,,,,,,,,,,,,,,,,,,,
Giant Goat,Large,Beast,Unaligned,"Grassland, Hill, Mountain","Grassland, Hill, Mountain",,None,11,19,1,40,,30,,,,3,-4,1,1,1,-2,5,-4,1,1,1,-2,Perception,,,,,,,60,,,13,None,1/2,100,2,,,1,Melee,5,5,,6,Bludgeoning,,,,,,,,,,,,,,,,,,,,,"If charging, +5 damage and gives prone condition",,,,,,,,,,,,,,,,,,,,,
Giant Hyena,Large,Beast,Unaligned,"Desert, Forest, Grassland, Hill","Desert, Forest, Grassland, Hill",,None,12,45,2,50,,,,,,3,-4,2,1,2,-2,3,-4,2,1,2,-2,Perception,,,,,,,60,,,13,None,1,200,2,,,1,Melee,5,5,,10,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rampage, can move up to 1/2 its movement and Akt if target is already bloodied",,,,,,,,,,,,
Giant Lizard,Large,Beast,Unaligned,"Coastal, Desert, Forest, Swamp, Underdark","Coastal, Desert, Forest, Swamp, Underdark",,None,12,19,1,40,,40,,,,2,-4,1,0,1,-3,2,-4,3,0,1,-3,,,,,,,,60,,,10,None,1/4,50,2,Spider climb,,1,Melee,4,5,,6,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Octopus,Large,Beast,Unaligned,Underwater,Underwater,,None,11,45,1,10,,,,,60,3,-3,1,0,1,-3,3,-3,1,0,1,-3,,"Perception, Stealth",,,,,,60,,,14,None,1,200,2,,,1,Melee,5,10,,10,Bludgeoning,,,,,,,,,,,,,,,,,,,,,Grapples and restranies,,,,,,,,,,Moves up to half its speed in water and creates a heavily obscured area.,,,,,,,,,,,
Giant Owl,Large,Celestial,Neutral,"Arctic, Forest, Hill","Arctic, Forest, Hill",,None,12,19,2,5,,,60,,,1,0,2,2,1,0,1,0,2,4,1,0,,"Perception, Stealth",,"Necrotic, Radiant",,,,120,,,16,"Celestial, Understands Common and Primordial (Auran)",1/4,50,2,Flyby,,1,Melee,4,5,,7,Slashing,,,,,,,,,,,,,,,,,,,,,,Wisdom,,,,"Detect Evil and Good, Detect Magic",,,Clairvoyance,,,,,,,,,,,,,
Giant Rat,Small,Beast,Unaligned,"Forest, Swamp, Underdark, Urban","Forest, Swamp, Underdark, Urban",,None,13,7,3,30,,30,,,,-2,-4,3,0,0,-3,-2,-4,5,0,0,-3,Perception,,,,,,,60,,,12,None,1/8,25,2,Pack Tactics,,1,Melee,5,5,,5,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Scorpion,Large,Beast,Unaligned,Desert,Desert,,None,15,42,1,40,,,,,,3,-5,1,-1,2,-4,3,-5,1,-1,2,-4,,,,,,,60,,,,9,None,3,700,2,,,3,Melee,5,5,,6,Bludgeoning,Melee,5,5,,7,Piercing,,,,,,,,,,,,,,,Grabbles on Akt.1,,,,,,,,,,,,,,,,,,,,,
Giant Seahorse,Large,Beast,Unaligned,Underwater,Underwater,,None,14,16,1,5,,,,,40,2,-4,1,1,0,-3,2,-4,1,1,0,-3,,,,,,,,,,,11,None,1/2,100,2,,,1,Melee,4,5,,9,Bludgeoning,,,,,,,,,,,,,,,,,,,,,"If charging, 11 damage",,,,,,,,,Moves 1/2 speed underwater without provoking Opportunity Attacks,,,,,,,,,,,,
Giant Shark,Huge,Beast,Unaligned,Underwater,Underwater,,None,13,92,3,5,,,,,60,6,-5,0,0,5,-3,6,-5,0,0,5,-3,Perception,,,,,,60,,,,13,None,5,"1,800",3,,,2,Melee,9,5,,22,Piercing,,,,,,,,,,,,,,,,,,,,,Advantage on the Akt if the target is already hurt,,,,,,,,,,,,,,,,,,,,,
Giant Spider,Large,Beast,Unaligned,"Desert, Forest, Swamp, Underdark, Urban","Desert, Forest, Swamp, Underdark, Urban",,None,14,26,3,30,,30,,,,2,-4,3,0,1,-3,2,-4,3,0,1,-3,,"Perception, Stealth",,,,,,60,,,14,None,1,200,2,"Spider Climb, Web Walker",,1,Melee,5,5,,7,Piercing,,,,,,,,,,,,,,,,,,,13,Dexterity,Dex save restrained Recharges 5-6,,,,,,,,,,,,,,,,,,,,,
Giant Squid,Huge,Beast,Unaligned,Underwater,Underwater,,None,12,120,2,5,,,,,80,6,-3,2,0,1,-3,9,-3,5,0,1,-3,,Perception,,,,,,120,,,16,None,6,"2,300",3,,,2,Melee,9,5,,28,Piercing,Melee,9,15,,19,Bludgeoning,,,,,,,,,,,,,,,Grapples on 2 Akt. and pulls 10ft too you.,,,,,,,,,,Moves up to half its speed in water and creates a heavily obscured area.,,,,,,,,,,,
Giant Toad,Large,Beast,Unaligned,"Coastal, Forest, Swamp, Underdark","Coastal, Forest, Swamp, Underdark",,None,11,39,1,30,,,,,30,2,-4,1,0,1,-4,2,-4,1,0,1,-4,,,,,,,,60,,,10,None,1,200,2,,,1,Melee,4,5,,10,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,"Grapples on Akt.1, Can swallow a target and they become blinded and restrained and gives 5 acid damage.",,,,,,,,,,,,,,,,,,,,,
Giant Venomous Snake,Medium,Beast,Unaligned,"Coastal, Desert, Forest, Grassland, Hill, Swamp","Coastal, Desert, Forest, Grassland, Hill, Swamp",,None,14,11,4,40,,,,,40,0,-4,4,0,1,-4,0,-4,4,0,1,-4,Perception,Acrobatics,,,,,10,,,,12,None,1/4,50,2,,,1,Melee,6,10,,10,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Vulture,Large,Monstrosity,Neutral Evil,"Desert, Grassland, Hill","Desert, Grassland, Hill",,None,10,25,0,10,,,60,,,2,-2,0,1,3,-2,2,-2,0,1,3,-2,Perception,,,Necrotic,,,,60,,,13,Understands Common,1,200,2,Pack Tactics,,1,Melee,4,5,,9,Piercing,,,,,,,,,,,,,,,,,,,,,On hit poisoned,,,,,,,,,,,,,,,,,,,,,
Giant Wasp,Medium,Beast,Unaligned,"Forest, Grassland, Urban","Forest, Grassland, Urban",,None,13,22,2,10,,,50,,,0,-5,2,0,0,-4,0,-5,2,0,0,-4,,,,,,,,,,,10,None,1/2,100,2,Flyby,,1,Melee,4,5,,10,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Weasel,Medium,Beast,Unaligned,"Grassland, Hill","Grassland, Hill",,None,13,9,3,40,,30,,,,0,-3,3,1,0,-3,0,-3,3,1,0,-3,"Acrobatics, Perception, Stealth",,,,,,,60,,,13,None,1/8,25,2,,,1,Melee,5,5,,5,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Wolf Spider,Medium,Beast,Unaligned,"Coastal, Desert, Forest, Grassland, Hill","Coastal, Desert, Forest, Grassland, Hill",,None,13,11,3,40,,40,,,,1,-4,3,1,1,-3,1,-4,3,1,1,-3,Perception,Stealth,,,,,60,10,,,13,None,1/4,50,2,Spider Climb,,1,Melee,5,5,,10,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbering Mouther,Medium,Aberration,Chaotic Neutral,Underdark,Underdark,,None,9,52,-1,20,,,,,20,0,-4,-1,0,3,-2,0,-4,-1,0,3,-2,,,,,Prone,,,60,,,10,None,2,450,2,"Aberrant Ground, Gibbering",,1,Melee,2,5,,7,Piercing,,,,,,,,,,,,,,,,,,,10,"Dexterity, Wisdom","Akt 1 the target is prone and is dead if reduced to 0, In a 10ft sphere 7 radiant damage and the target is blinded",,,,,,,,,,,,,,,,,,,,,
Githyanki Dracomancer,Medium,Aberration (Gith),Lawful Evil,Planar (Astral Plane),Planar,Astral Plane,Armaments,18,255,8,30,,,30,30,,0,5,3,3,4,4,0,10,8,8,9,4,"Arcanna, Perception",,,,,,30,,,,18,"Common, Draconic, Gith",16,"15,000",5,,,3,Melee,10,10,,29,"Slashing, Fire",Ranged,10,120,120,29,"Slashing, Fire",,,,,,,,,,,,,18,Dexterity,"Akt 1 gives the frightened condition, Dragon's Breath 90ft coone 54 fire and force damage",Intelligence,18,,10,Mage Hand,Misty Step,"Nondetection (self), Plane Shift, Tongues",,Cast Misty Step,,,,,,,,,,,,
Githyanki Knight,Medium,Aberration (Gith),Lawful Evil,Planar (Astral Plane),Planar,Astral Plane,Armaments,18,117,5,30,,,,,,3,2,2,2,2,2,3,5,2,5,5,2,,,,,,,,,,,12,"Common, Gith",8,"3,900",3,,,3,Melee,6,5,,24,"Slashing, Psychic",,,,,,,,,,,,,,,,,,,,,,Intelligence,13,,5,Mage Hand,,"Misty Step, Nondetection (self), Tongues","Plane Shift, Telekinesis",Cast Misty Step,,,,,,,,,,,,
Githyanki Warrior/Soldier,Medium,Aberration (Gith),Lawful Evil,Planar (Astral Plane),Planar,Astral Plane,Armaments,17,49,4,30,,,,,,2,1,2,1,1,0,2,3,2,3,3,0,,,,,,,,,,,11,"Common, Gith",3,700,2,,,2,Melee,4,5,,16,"Slashing, Psychic",,,,,,,,,,,,,,,,,,,,,,Intelligence,,,,Mage Hand,,Misty Step,Nondetection (self),Cast Misty Step,,,,,,,,,,,,
